YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM,Log10 MAG,Time (seconds),Day,Seconds from start,Lag,Waiting time (minutes),Time of occurrence (minutes),Count,Exponential Density Waiting time (minutes)
2014/01/17,4:14:50.16 PM,le,1.75,l,33.053,-116.402,12.9,A,11414866,74,0,0.2430380487,3509409.6,17,86453409.6,86187533.4,73.8545,24014.836,89,0.0037545381
2014/01/17,4:37:37.30 PM,le,1.55,l,35.986,-117.406,2.6,A,11414874,45,0,0.1903316982,3591438,17,86535438,86453409.6,22.785666667,24037.621667,90,0.0144701885
2014/01/17,5:15:13.62 PM,le,1.65,l,33.825,-117.684,9.7,A,11414890,47,0,0.2174839442,3726817.2,17,86670817.2,86535438,37.605333333,24075.227,91,0.0097824293
2014/01/17,7:12:49.48 PM,qb,0.66,l,35.923,-117.184,0,A,11414954,10,0,-0.180456064,4150168.8,17,87094168.8,87009986.4,23.384,24192.824667,92,0.0142432616
2014/01/18,5:23:46.06 AM,le,0.7,l,33.379,-116.392,11.2,A,11415098,47,0,-0.15490196,1165563.6,18,89293563.6,89080750.8,59.114666667,24803.767667,93,0.0055420195
2014/01/18,2:53:53.21 PM,le,1.67,l,36.236,-118.329,4.7,C,11415234,23,0,0.2227164711,3217992.6,18,91345992.6,91278300.6,18.803333333,25373.886833,94,0.0160754776
2014/01/19,1:06:02.70 AM,le,1.21,l,35.332,-117.908,7.4,A,11415346,23,0,0.0827853703,237762,19,93549762,93206687.4,95.2985,25986.045,95,0.0021307251
2014/01/19,3:45:46.77 AM,le,1.21,l,34.015,-116.848,19.6,A,11415394,67,0,0.0827853703,812806.2,19,94124806.2,93914068.2,58.538333333,26145.7795,96,0.0056270449
2014/01/19,6:49:24.00 AM,le,0.83,l,33.362,-116.254,12.5,A,11415418,47,0,-0.080921908,1473840,19,94785840,94617492.6,46.763166667,26329.4,97,0.0076802969
2014/01/19,8:02:29.24 AM,le,1.3,l,36.031,-117.772,1.9,A,11415450,34,0,0.1139433523,1736954.4,19,95048954.4,94972153.8,21.3335,26402.487333,98,0.0150360942
2014/01/19,9:38:51.98 AM,le,0.62,l,33.647,-116.657,16.5,A,11415498,31,0,-0.207608311,2083918.8,19,95395918.8,95347691.4,13.3965,26498.866333,99,0.0185437262
2014/01/19,11:31:58.79 AM,le,1.24,l,33.26,-116.219,11.9,A,11415506,59,0,0.0934216852,2491127.4,19,95803127.4,95395918.8,113.1135,26611.979833,100,0.0013308656
